1 Vuggy structure	geologic structure
2 $$Low-temperature flow foliation	flow foliation
3 $Folded structure	Igneous structure, Tectonic structure
4 $Fabric
4.1 $Massive fabric	fabric
4.1.1 $Broken rock fabric	fabric
4.2 $Joint fabric	fabric
4.3 $Lineation	fabric
4.3.1 $Igneous lineation	lineation
4.3.1.1 $Igneous vesicle lineation	igneous lineation
4.3.1.2 $Igneous particle shape lineation	igneous lineation
4.3.1.2.1 $Igneous mineral lineation	igneous particle shape lineation
4.3.2 $Flow lineation	lineation
4.3.3 $Tectonic lineation	lineation
4.3.4 $Slickenline	lineation
4.3.5 $Crenulation lineation	lineation
4.3.6 $Particle shape lineation	lineation
4.3.6.1 $Mineral lineation	Particle shape lineation
4.3.6.1.1 $Quartz fibre lineation	mineral lineation
4.3.6.1.2 $Hornblende mineral lineation	mineral lineation
4.3.6.1.3 $Sillimanite mineral lineation	mineral lineation
4.3.6.1.4 $Biotite mineral lineation	mineral lineation
4.3.6.2 $Stretching lineation	Particle shape lineation
4.3.6.3 $Augen lineation	lineation
4.3.7 $Pencil lineation	lineation
4.3.8 $Rodding lineation	lineation
4.3.9 $Intersection lineation	lineation
4.3.9.1 $Cleavage intersection lineation 	Intersection lineation
4.3.9.2 $Bedding cleavage intersection lineation	intersection lineation
4.4 $Foliation	fabric
4.4.1 $Tectonic foliation	foliation
4.4.2 $Flaser structure 	foliation
4.4.3 $Imbricated clast fabric	foliation
4.4.4 $Generic mylonitic foliation	foliation
4.4.4.1 $Protomylonite foliation	Generic mylonitic foliation
4.4.4.2 $Mylonite foliation	Generic mylonitic foliation
4.4.4.3 $Ultramylonite foliation	Generic mylonitic foliation
4.4.5 $Schistosity	foliation
4.4.6 $Vertical sheet structure	foliation
4.4.7 $Primary foliation	foliation
4.4.8 $Compound foliation	foliation
4.4.8.1 $Cleavage parallel to bedding	compound foliation
4.4.8.2 $Compound metamorphic foliation	foliation
4.4.8.3 $Layered mylonitic foliation	compound foliation
4.4.9 $Grain shape foliation	foliation
4.4.9.1 $S fabric	Grain shape foliation
4.4.10 $Ductile shear banding foliation	foliation
4.4.10.1 $C fabric	Ductile shear band foliation
4.4.11 $Layering	foliation
4.4.11.1 $Tectonic layering	layering
4.4.11.2 $Rhythmic layering	layering
4.4.11.3 $Metamorphic layering	layering; metamorphic fabric
4.4.11.3.1 $Metamorphic layering inherited from protolith	metamorphic layering
4.4.11.3.1.1 $Transposed bedding layering	Metamorphic layering inherited from protolith
4.4.11.3.2 $Gneissic layering	layering
4.4.11.3.3 $Laminated metamorphic layering 	metamorphic layering
4.4.11.3.4 $Metamorphic differentiation layering	metamorphic layering
4.4.11.3.5 $Stromatic layering	metamorphic layering
4.4.11.3.6 $Vague metamorphic layering	metamorphic layering
4.4.11.4 $Flow layering	layering
4.4.11.5 $Compositional layering	layering
4.4.11.6 $Comb layering	layering
4.4.11.7 $Cumulate layering	igneous layering
4.4.11.8 $Graded layering	Layering
4.4.11.9 $Mineralogical layering	layering
4.4.12 $Cleavage	foliation
4.4.12.1 $Close joints	cleavage, joint
4.4.12.2 $Crenulation cleavage	cleavage
4.4.12.2.1 $Continuous crenulation cleavage	crenulation cleavage
4.4.12.3 $Continuous cleavage	cleavage
4.4.12.3.1 $Slaty cleavage	continuous cleavage, Grain shape foliation
4.4.12.4 $Domainal cleavage	cleavage
4.4.12.5 $Disjunctive cleavage	cleavage
4.4.12.6 $Spaced cleavage	cleavage
4.4.12.6.1 $Solution cleavage	spaced cleavage
4.4.12.6.2 $Anastomosing spaced cleavage	spaced cleavage
4.4.12.6.3 $Discrete disjunct spaced cleavage	spaced cleavage
4.4.12.6.4 $Discrete cleavage	spaced cleavage
4.4.12.7 $Scaly cleavage	cleavage
4.4.12.8 $Phyllitic cleavage	continuous cleavage, grain shape foliation
4.4.12.9 $Discrete crenulation cleavage	crenulation cleavage; spaced cleavage
4.4.12.10 $Rough cleavage	cleavage
5 $Igneous structure
5.1 $Primary igneous foliation	igneous structure; foliation
5.1.1 $Eutaxitic foliation	Primary igneous foliation
5.1.2 $Igneous layering 	igneous foliation; layering
5.1.2.1 $Igneous textural layering	igneous layering
5.1.2.2 $Lava flow banding	igneous layering; igneous flow foliation
5.1.3 $Igneous lamination	igneous foliation
5.1.4 $Igneous flow foliation	igneous foliation; flow foliation
5.2 $Miarolitic structure	igneous structure; vuggy structure
5.3 $Lithophysal structure	igneous structure; vuggy structure
5.4 $Pillow structure	igneous structure
5.5 $Perlitic cracks	igneous structure
5.6 $Spherulitic structure	igneous structure; sedimentary structure
5.7 $Amygdaloidal structure	igneous structure
5.8 $Vesicular structure	igneous structure
5.9 $Igneous fabric	fabric
5.9.1 $Massive igneous fabric	massive fabric; igneous fabric
5.9.2 $Cumulate fabric	igneous fabric
5.9.3 $Diktytaxitic texture	igneous fabric
5.9.4 $Felted texture	igneous fabric
5.9.5 $Bostonitic fabric	igneous fabric
5.9.6 $Granophyric texture	igneous fabric
5.9.7 $Myrmekitic texture	igneous fabric
5.9.8 $Trachytic texture	felted texture
5.9.9 $Welded texture	igneous fabric
5.9.10 $Axiolitic structure	igneous fabric
5.9.11 $Perthitic texture	igneous fabric
5.9.12 $Hyaloophitic texture	igneous fabric
5.9.13 $Ophitic texture	igneous fabric
5.9.14 $Graphic texture	igneous fabric
5.9.15 $Intergranular texture	igneous fabric
5.9.16 $Intersertal texture	igneous fabric
5.9.17 $Spinifex texture	igneous fabric
5.9.18 $Subophitic texture	igneous fabric
6 $Metamorphic structure
6.1 $Metamorphic fabric	fabric
6.1.1 $Massive metamorphic fabric	massive fabric; metamorphic fabric
6.1.2 $Decussate fabric	metamorphic fabric
6.1.3 $Granoblastic fabric	metamorphic fabric
6.1.4 $Sieve texture	igneous fabric, metamorphic fabric
6.1.5 $Pseudobreccia structure	metamorphic fabric
6.2 $Maculose structure	Metamorphic structure
6.3 $Migmatitic structure	Metamorphic structure
7 $Metasomatic structure
7.1 $Comb structure	metasomatic structure
7.2 $Cockade structure	metasomatic structure
